Symbol,Absolute Occurences,Relative Occurences,Information Density,Huffman Code Sequence
space,359.0,0.1594138543516874,2.6491510782571783,"= ""110"""
e,305.00000000000006,0.13543516873889877,2.8843256796299808,"= ""100"""
n,189.0,0.08392539964476022,3.574748687859157,"= ""1111"""
i,143.0,0.06349911190053285,3.9771197753018406,"= ""0111"""
r,123.0,0.05461811722912966,4.19447660674099,"= ""0110"""
a,113.00000000000001,0.05017761989342807,4.316812149665042,"= ""0100"""
h,105.0,0.04662522202486678,4.422745594414107,"= ""0010"""
s,101.0,0.044849023090586145,4.478779629328435,"= ""0001"""
d,89.0,0.03952042628774423,4.661257681113832,"= ""11100"""
t,85.0,0.03774422735346359,4.727600175942528,"= ""10111"""
u,71.0,0.03152753108348135,4.987243992575547,"= ""10100"""
c,59.0,0.026198934280639432,5.254348062718388,"= ""01010"""
m,54.0,0.023978685612788632,5.382103609916761,"= ""00110"""
g,50.0,0.022202486678507993,5.493134922305505,"= ""00001"""
l,47.0,0.020870337477797513,5.582402260402592,"= ""111011"""
",",41.0,0.018206039076376555,5.779439107462146,"= ""101101"""
o,37.0,0.016429840142095916,5.9275377464512795,"= ""101011"""
w,29.999999999999996,0.013321492007104795,6.230100516471711,"= ""010110"""
b,24.0,0.010657193605683837,6.5520286113590736,"= ""000001"""
f,23.0,0.010213143872113677,6.613429156023217,"= ""1110101"""
z,20.0,0.008880994671403197,6.815063017192868,"= ""1011000"""
ä,16.0,0.007104795737122558,7.13699111208023,"= ""0101111"""
.,14.999999999999998,0.0066607460035523975,7.230100516471711,"= ""0101110"""
v,14.0,0.006216696269982238,7.329636190022626,"= ""0011110"""
ß,14.0,0.006216696269982238,7.329636190022626,"= ""0011101"""
\n,11.000000000000002,0.004884547069271759,7.677559493442932,"= ""0000000"""
H,10.0,0.004440497335701598,7.815063017192868,"= ""10110010"""
k,10.0,0.004440497335701598,7.815063017192868,"= ""10101011"""
ü,8.0,0.003552397868561279,8.13699111208023,"= ""10101000"""
M,7.0,0.003108348134991119,8.329636190022626,"= ""00111110"""
D,7.0,0.003108348134991119,8.329636190022626,"= ""00111001"""
P,6.0,0.0026642984014209592,8.552028611359074,"= ""00111000"""
S,6.0,0.0026642984014209592,8.552028611359074,"= ""00000011"""
p,6.0,0.0026642984014209592,8.552028611359074,"= ""00000010"""
ö,5.0,0.002220248667850799,8.815063017192868,"= ""111010010"""
V,5.0,0.002220248667850799,8.815063017192868,"= ""111010001"""
A,5.0,0.002220248667850799,8.815063017192868,"= ""111010000"""
W,5.0,0.002220248667850799,8.815063017192868,"= ""101100111"""
F,5.0,0.002220248667850799,8.815063017192868,"= ""101100110"""
G,5.0,0.002220248667850799,8.815063017192868,"= ""101010101"""
E,4.0,0.0017761989342806395,9.13699111208023,"= ""001111111"""
Z,3.0,0.0013321492007104796,9.552028611359074,"= ""001111110"""
T,3.0,0.0013321492007104796,9.552028611359074,"= ""1110100111"""
R,2.0,0.0008880994671403197,10.13699111208023,"= ""1010100111"""
j,2.0,0.0008880994671403197,10.13699111208023,"= ""1010100110"""
J,2.0,0.0008880994671403197,10.13699111208023,"= ""1010100101"""
B,2.0,0.0008880994671403197,10.13699111208023,"= ""1010100100"""
L,1.0,0.0004440497335701599,11.13699111208023,"= ""11101001101"""
N,1.0,0.0004440497335701599,11.13699111208023,"= ""11101001100"""
q,1.0,0.0004440497335701599,11.13699111208023,"= ""10101010011"""
U,1.0,0.0004440497335701599,11.13699111208023,"= ""10101010010"""
K,1.0,0.0004440497335701599,11.13699111208023,"= ""10101010001"""
',1.0,0.0004440497335701599,11.13699111208023,"= ""10101010000"""
