Symbol,Absolute Occurences,Relative Occurences,Information Density,Huffman Code Sequence
space,330.0,0.1406050276949297,2.8302799122773545,"= ""101"""
e,208.0,0.08862377503195569,3.4961624083820784,"= ""000"""
n,192.0,0.0818065615679591,3.611639625802014,"= ""1110"""
r,133.0,0.056668086919471665,4.141319691021981,"= ""0110"""
a,122.0,0.05198125266297401,4.265864788960284,"= ""0100"""
i,116.0,0.04942479761397529,4.338621131395598,"= ""0011"""
t,110.0,0.046868342564976566,4.415242412998511,"= ""0010"""
d,91.0,0.03877290157648061,4.688807486324474,"= ""11011"""
s,89.00000000000001,0.03792074989348104,4.7208686955567725,"= ""11010"""
h,88.0,0.03749467405198125,4.737170507885873,"= ""11000"""
u,80.0,0.034086067319982954,4.874674031635808,"= ""10010"""
\n,75.0,0.031955688112484025,4.96778343602729,"= ""10000"""
l,65.0,0.027694929697486152,5.174234313494716,"= ""01011"""
o,58.0,0.024712398806987643,5.338621131395598,"= ""01010"""
c,48.0,0.020451640391989774,5.611639625802014,"= ""111101"""
",",47.0,0.020025564550489986,5.642013274845533,"= ""111100"""
m,42.0,0.017895185342991053,5.804284703744409,"= ""100111"""
g,38.0,0.016190881976991905,5.948674613079585,"= ""011111"""
f,36.0,0.01533873029399233,6.026677125080858,"= ""011110"""
S,26.0,0.011077971878994461,6.496162408382078,"= ""1111101"""
b,23.0,0.0097997443544951,6.673040170466157,"= ""1100111"""
w,21.0,0.008947592671495527,6.804284703744409,"= ""1100100"""
"""",21.0,0.008947592671495527,6.804284703744409,"= ""1001101"""
.,20.0,0.008521516829995739,6.874674031635808,"= ""1000101"""
M,17.0,0.007243289305496378,7.109139285272831,"= ""0111010"""
U,14.0,0.005965061780997018,7.389247204465566,"= ""11111110"""
J,14.0,0.005965061780997018,7.389247204465566,"= ""11111101"""
B,13.0,0.005538985939497231,7.496162408382078,"= ""11111100"""
H,12.0,0.0051129100979974435,7.611639625802014,"= ""11111000"""
D,12.0,0.0051129100979974435,7.611639625802014,"= ""11001101"""
k,11.0,0.004686834256497656,7.737170507885873,"= ""11001011"""
p,10.0,0.004260758414997869,7.874674031635808,"= ""10011001"""
ä,10.0,0.004260758414997869,7.874674031635808,"= ""10011000"""
E,10.0,0.004260758414997869,7.874674031635808,"= ""10001111"""
A,10.0,0.004260758414997869,7.874674031635808,"= ""10001110"""
„,10.0,0.004260758414997869,7.874674031635808,"= ""10001101"""
!,10.0,0.004260758414997869,7.874674031635808,"= ""10001100"""
y,10.0,0.004260758414997869,7.874674031635808,"= ""10001001"""
:,9.0,0.0038346825734980826,8.026677125080857,"= ""10001000"""
K,9.0,0.0038346825734980826,8.026677125080857,"= ""01110111"""
z,8.0,0.0034086067319982955,8.196602126523171,"= ""01110000"""
L,8.0,0.0034086067319982955,8.196602126523171,"= ""111111111"""
',6.0,0.0025564550489987218,8.611639625802015,"= ""111110011"""
v,6.0,0.0025564550489987218,8.611639625802015,"= ""111110010"""
?,6.0,0.0025564550489987218,8.611639625802015,"= ""110011001"""
I,5.0,0.0021303792074989347,8.874674031635807,"= ""110011000"""
F,5.0,0.0021303792074989347,8.874674031635807,"= ""110010101"""
ü,5.0,0.0021303792074989347,8.874674031635807,"= ""110010100"""
Q,4.0,0.0017043033659991478,9.196602126523171,"= ""011100110"""
N,4.0,0.0017043033659991478,9.196602126523171,"= ""011100101"""
-,4.0,0.0017043033659991478,9.196602126523171,"= ""011100100"""
G,4.0,0.0017043033659991478,9.196602126523171,"= ""011100011"""
W,4.0,0.0017043033659991478,9.196602126523171,"= ""011100010"""
Z,3.0,0.0012782275244993609,9.611639625802015,"= ""1111111101"""
R,3.0,0.0012782275244993609,9.611639625802015,"= ""1111111100"""
j,2.0,0.0008521516829995739,10.196602126523171,"= ""0111011010"""
ß,2.0,0.0008521516829995739,10.196602126523171,"= ""0111011001"""
T,2.0,0.0008521516829995739,10.196602126523171,"= ""0111011000"""
P,2.0,0.0008521516829995739,10.196602126523171,"= ""0111001111"""
;,2.0,0.0008521516829995739,10.196602126523171,"= ""0111001110"""
ö,1.0,0.00042607584149978694,11.196602126523171,"= ""01110110111"""
V,1.0,0.00042607584149978694,11.196602126523171,"= ""01110110110"""
